-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2019 through 12/31/2020 
Location: Latitude  44.9612   Longitude 37.2849 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.77 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
2019,9,19,5.16,3.48
2019,9,20,4.79,1.89
2019,9,21,4.82,3.48
2019,9,22,5.04,4.32
2019,9,23,5.09,5.0
2019,9,24,5.02,4.16
2019,9,25,4.63,2.04
2019,9,26,4.67,3.43
2019,9,27,4.47,3.16
2019,9,28,4.7,4.58
2019,9,29,4.73,4.71
2019,9,30,4.55,4.2
2019,10,1,4.4,2.45
2019,10,2,4.63,4.61
2019,10,3,4.33,4.34
2019,10,4,4.25,3.99
2019,10,5,4.13,3.85
2019,10,6,3.76,0.94
2019,10,7,4.21,3.9
2019,10,8,3.85,1.26
2019,10,9,4.19,4.2
2019,10,10,4.27,4.14
2019,10,11,3.79,2.73
2019,10,12,4.13,4.04
2019,10,13,4.15,4.19
2019,10,14,4.13,4.1
2019,10,15,4.11,4.16
2019,10,16,4.0,4.04
2019,10,17,3.85,2.98
2019,10,18,3.42,2.08
2019,10,19,3.23,2.24
2019,10,20,3.17,2.87
2019,10,21,3.45,3.42
2019,10,22,3.63,3.67
2019,10,23,3.49,3.44
2019,10,24,3.39,3.28
2019,10,25,3.19,3.22
2019,10,26,3.03,2.95
2019,10,27,3.04,2.99
2019,10,28,3.1,2.88
2019,10,29,2.7,2.01
2019,10,30,2.73,0.83
2019,10,31,2.9,1.66
2019,11,1,3.08,2.88
2019,11,2,3.24,3.25
2019,11,3,3.11,2.74
2019,11,4,2.96,2.83
2019,11,5,2.76,2.35
2019,11,6,2.83,2.83
2019,11,7,2.77,2.41
2019,11,8,2.76,2.77
2019,11,9,2.72,2.31
2019,11,10,2.72,2.47
2019,11,11,2.61,2.17
2019,11,12,2.43,2.28
2019,11,13,2.49,2.41
2019,11,14,2.53,2.56
2019,11,15,2.47,2.51
2019,11,16,2.31,1.99
2019,11,17,2.37,2.27
2019,11,18,2.34,2.36
2019,11,19,2.26,2.16
2019,11,20,1.99,1.73
2019,11,21,2.06,1.57
2019,11,22,2.17,2.14
2019,11,23,2.36,2.37
2019,11,24,2.19,2.11
2019,11,25,2.01,1.52
2019,11,26,2.03,1.67
2019,11,27,1.71,1.06
2019,11,28,2.02,1.13
2019,11,29,1.91,1.0
2019,11,30,2.01,1.35
2019,12,1,1.75,0.81
2019,12,2,2.17,1.93
2019,12,3,1.85,0.33
2019,12,4,2.05,1.32
2019,12,5,2.12,2.11
2019,12,6,2.1,1.81
2019,12,7,2.11,2.13
2019,12,8,1.97,0.6
2019,12,9,1.79,0.97
2019,12,10,1.84,1.5
2019,12,11,1.79,1.74
2019,12,12,1.96,1.84
2019,12,13,1.84,1.23
2019,12,14,1.82,1.0
2019,12,15,1.91,1.57
2019,12,16,1.94,1.8
2019,12,17,1.92,1.47
2019,12,18,1.88,1.06
2019,12,19,1.83,1.01
2019,12,20,1.72,0.91
2019,12,21,1.78,1.09
2019,12,22,1.75,0.89
2019,12,23,1.78,0.96
2019,12,24,1.71,0.46
2019,12,25,1.77,1.31
2019,12,26,1.74,1.37
2019,12,27,1.72,0.58
2019,12,28,1.75,1.22
2019,12,29,1.8,0.68
2019,12,30,1.79,1.1
2019,12,31,1.93,0.95
2020,1,1,1.72,0.65
2020,1,2,1.98,1.25
2020,1,3,1.95,0.99
2020,1,4,2.08,2.11
2020,1,5,1.94,1.03
2020,1,6,1.9,1.18
2020,1,7,1.77,0.63
2020,1,8,1.88,0.94
2020,1,9,1.98,1.03
2020,1,10,2.01,1.33
2020,1,11,1.91,0.44
2020,1,12,1.99,0.64
2020,1,13,2.05,1.39
2020,1,14,2.2,0.94
2020,1,15,2.17,2.09
2020,1,16,2.34,1.95
2020,1,17,2.31,1.66
2020,1,18,2.26,1.58
2020,1,19,2.4,2.33
2020,1,20,2.44,2.31
2020,1,21,2.31,0.43
2020,1,22,2.25,0.58
2020,1,23,2.38,1.01
2020,1,24,2.54,1.44
2020,1,25,2.54,1.73
2020,1,26,2.44,2.04
2020,1,27,2.41,2.03
2020,1,28,2.29,2.03
2020,1,29,2.43,1.2
2020,1,30,2.67,0.94
2020,1,31,2.79,1.83
2020,2,1,2.73,0.84
2020,2,2,2.63,1.1
2020,2,3,2.71,0.79
2020,2,4,2.95,2.8
2020,2,5,2.62,0.62
2020,2,6,2.78,0.52
2020,2,7,2.92,1.47
2020,2,8,3.07,1.58
2020,2,9,3.17,2.14
2020,2,10,3.37,3.19
2020,2,11,2.98,1.36
2020,2,12,3.32,2.81
2020,2,13,3.42,2.94
2020,2,14,3.54,3.13
2020,2,15,3.42,2.45
2020,2,16,3.62,3.66
2020,2,17,3.67,3.62
2020,2,18,3.73,3.78
2020,2,19,3.55,3.51
2020,2,20,3.48,2.1
2020,2,21,3.36,2.35
2020,2,22,3.26,1.18
2020,2,23,3.77,2.32
2020,2,24,3.49,0.63
2020,2,25,4.14,3.73
2020,2,26,4.2,3.88
2020,2,27,3.97,2.54
2020,2,28,4.09,2.59
2020,2,29,3.8,1.98
2020,3,1,4.1,3.9
2020,3,2,4.38,4.05
2020,3,3,4.31,4.29
2020,3,4,4.49,4.52
2020,3,5,4.47,3.92
2020,3,6,4.19,3.24
2020,3,7,4.26,3.65
2020,3,8,4.51,4.38
2020,3,9,4.55,4.35
2020,3,10,4.54,4.39
2020,3,11,4.32,2.44
2020,3,12,4.72,3.3
2020,3,13,4.97,4.56
2020,3,14,4.66,3.66
2020,3,15,4.3,2.32
2020,3,16,5.29,3.8
2020,3,17,5.4,5.42
2020,3,18,4.87,4.17
2020,3,19,4.9,1.77
2020,3,20,5.11,4.38
2020,3,21,5.11,3.95
2020,3,22,5.1,4.87
2020,3,23,5.19,2.34
2020,3,24,4.9,4.38
2020,3,25,4.89,3.32
2020,3,26,4.82,4.72
2020,3,27,5.08,4.91
2020,3,28,5.36,4.99
2020,3,29,5.15,2.73
2020,3,30,5.19,2.16
2020,3,31,5.13,4.41
2020,4,1,5.37,4.61
2020,4,2,6.09,6.09
2020,4,3,6.06,6.07
2020,4,4,6.0,5.34
2020,4,5,6.07,4.56
2020,4,6,6.8,6.77
2020,4,7,6.74,6.7
2020,4,8,6.86,6.8
2020,4,9,6.73,6.67
2020,4,10,6.43,6.38
2020,4,11,6.15,5.22
2020,4,12,6.79,6.76
2020,4,13,7.08,7.1
2020,4,14,6.65,6.05
2020,4,15,5.09,1.58
2020,4,16,6.73,6.33
2020,4,17,6.97,6.24
2020,4,18,6.63,6.31
2020,4,19,6.72,6.34
2020,4,20,5.82,1.74
2020,4,21,6.9,6.42
2020,4,22,7.13,6.5
2020,4,23,7.18,6.53
2020,4,24,7.31,7.24
2020,4,25,7.52,7.44
2020,4,26,7.35,6.38
2020,4,27,7.25,6.53
2020,4,28,7.42,7.2
2020,4,29,7.79,7.71
2020,4,30,7.58,7.59
2020,5,1,7.35,7.29
2020,5,2,6.88,5.31
2020,5,3,7.13,6.41
2020,5,4,7.29,4.05
2020,5,5,7.3,4.47
2020,5,6,7.38,5.31
2020,5,7,7.41,2.62
2020,5,8,7.48,5.2
2020,5,9,7.77,7.16
2020,5,10,7.59,6.35
2020,5,11,7.91,7.9
2020,5,12,7.85,7.37
2020,5,13,7.87,7.28
2020,5,14,7.95,7.5
2020,5,15,6.82,5.78
2020,5,16,7.3,5.55
2020,5,17,7.97,7.69
2020,5,18,7.75,6.6
2020,5,19,8.1,8.08
2020,5,20,7.74,6.89
2020,5,21,7.29,4.78
2020,5,22,7.17,4.15
2020,5,23,8.29,7.77
2020,5,24,8.34,8.13
2020,5,25,7.69,3.49
2020,5,26,8.01,6.98
2020,5,27,8.15,7.56
2020,5,28,7.83,7.24
2020,5,29,7.33,2.16
2020,5,30,8.21,7.88
2020,5,31,8.34,8.21
2020,6,1,8.01,5.79
2020,6,2,7.97,5.13
2020,6,3,8.09,7.22
2020,6,4,7.81,2.74
2020,6,5,8.42,8.08
2020,6,6,8.6,8.03
2020,6,7,8.75,8.7
2020,6,8,8.6,8.58
2020,6,9,8.27,7.98
2020,6,10,8.16,7.9
2020,6,11,7.81,7.09
2020,6,12,7.76,6.15
2020,6,13,7.7,6.32
2020,6,14,7.88,7.31
2020,6,15,7.99,7.49
2020,6,16,8.06,7.98
2020,6,17,8.2,7.87
2020,6,18,7.78,7.56
2020,6,19,7.78,5.46
2020,6,20,7.71,6.06
2020,6,21,7.7,4.39
2020,6,22,8.26,7.84
2020,6,23,8.25,8.09
2020,6,24,7.81,5.64
2020,6,25,8.2,8.15
2020,6,26,8.51,8.35
2020,6,27,8.54,8.45
2020,6,28,8.7,8.57
2020,6,29,8.62,8.57
2020,6,30,7.95,6.61
2020,7,1,7.86,7.74
2020,7,2,7.89,7.85
2020,7,3,8.2,8.16
2020,7,4,7.97,7.87
2020,7,5,7.98,7.87
2020,7,6,7.8,7.46
2020,7,7,7.78,7.58
2020,7,8,7.44,6.14
2020,7,9,7.9,7.42
2020,7,10,8.32,8.25
2020,7,11,8.35,8.28
2020,7,12,8.09,8.02
2020,7,13,7.31,3.86
2020,7,14,7.63,6.8
2020,7,15,7.96,7.79
2020,7,16,7.9,7.53
2020,7,17,7.33,5.66
2020,7,18,7.67,7.32
2020,7,19,7.7,7.57
2020,7,20,7.33,6.65
2020,7,21,7.42,6.33
2020,7,22,7.75,7.56
2020,7,23,7.78,7.74
2020,7,24,7.9,7.89
2020,7,25,7.57,7.44
2020,7,26,7.21,6.7
2020,7,27,7.33,7.22
2020,7,28,7.0,3.86
2020,7,29,7.32,6.51
2020,7,30,7.59,7.58
2020,7,31,7.58,7.57
2020,8,1,7.19,5.45
2020,8,2,7.11,4.71
2020,8,3,7.48,7.3
2020,8,4,7.73,7.65
2020,8,5,7.71,7.62
2020,8,6,7.42,7.41
2020,8,7,7.37,7.38
2020,8,8,7.27,7.28
2020,8,9,7.16,7.14
2020,8,10,6.99,6.9
2020,8,11,7.1,7.02
2020,8,12,6.87,6.81
2020,8,13,6.87,6.64
2020,8,14,6.87,6.63
2020,8,15,6.66,6.54
2020,8,16,7.09,7.06
2020,8,17,7.22,7.22
2020,8,18,7.14,7.14
2020,8,19,7.0,6.99
2020,8,20,6.69,5.69
2020,8,21,6.21,4.94
2020,8,22,6.16,5.56
2020,8,23,6.7,6.65
2020,8,24,6.92,6.93
2020,8,25,6.84,6.83
2020,8,26,6.77,6.77
2020,8,27,6.22,6.07
2020,8,28,6.3,4.97
2020,8,29,6.37,6.37
2020,8,30,6.65,6.67
2020,8,31,6.5,6.51
2020,9,1,6.38,6.38
2020,9,2,5.86,5.83
2020,9,3,5.86,5.61
2020,9,4,5.76,5.29
2020,9,5,5.23,1.53
2020,9,6,5.43,3.38
2020,9,7,5.73,4.83
2020,9,8,5.67,4.92
2020,9,9,5.77,5.78
2020,9,10,6.01,5.99
2020,9,11,5.96,5.91
2020,9,12,5.7,5.68
2020,9,13,5.59,5.46
2020,9,14,5.61,5.57
2020,9,15,5.52,5.41
2020,9,16,5.42,5.19
2020,9,17,5.33,5.34
2020,9,18,5.03,4.93
2020,9,19,5.1,3.4
2020,9,20,5.25,5.26
2020,9,21,5.37,5.41
2020,9,22,5.16,5.19
2020,9,23,4.98,5.0
2020,9,24,4.75,4.73
2020,9,25,4.62,4.59
2020,9,26,4.37,3.62
2020,9,27,4.44,4.25
2020,9,28,4.56,4.57
2020,9,29,4.26,3.41
2020,9,30,4.24,2.04
2020,10,1,4.15,1.12
2020,10,2,4.14,2.27
2020,10,3,4.31,4.24
2020,10,4,4.32,4.16
2020,10,5,4.38,4.41
2020,10,6,4.3,4.22
2020,10,7,4.44,4.48
2020,10,8,4.49,4.54
2020,10,9,4.4,3.55
2020,10,10,3.95,2.99
2020,10,11,3.56,3.04
2020,10,12,3.89,3.9
2020,10,13,3.8,3.73
2020,10,14,3.72,3.75
2020,10,15,3.63,3.55
2020,10,16,3.56,3.33
2020,10,17,3.68,3.65
2020,10,18,3.33,2.68
2020,10,19,3.29,0.92
2020,10,20,3.6,2.79
2020,10,21,3.7,3.73
2020,10,22,3.54,2.76
2020,10,23,3.54,2.35
2020,10,24,3.48,2.67
2020,10,25,3.37,3.34
2020,10,26,3.3,3.16
2020,10,27,2.96,1.92
2020,10,28,2.68,2.42
2020,10,29,2.74,2.07
2020,10,30,2.84,1.64
2020,10,31,2.79,2.01
2020,11,1,2.76,1.36
2020,11,2,2.74,1.91
2020,11,3,2.83,2.18
2020,11,4,2.71,1.25
2020,11,5,2.61,2.58
2020,11,6,2.6,1.72
2020,11,7,2.54,0.67
2020,11,8,2.76,2.21
2020,11,9,2.64,1.42
2020,11,10,2.36,0.94
2020,11,11,2.7,2.7
2020,11,12,2.67,2.33
2020,11,13,2.64,2.37
2020,11,14,2.58,2.56
2020,11,15,2.32,1.69
2020,11,16,2.1,1.56
2020,11,17,2.39,1.36
2020,11,18,2.27,1.08
2020,11,19,2.32,1.88
2020,11,20,2.04,1.47
2020,11,21,2.01,0.98
2020,11,22,2.1,0.73
2020,11,23,2.24,1.5
2020,11,24,2.06,0.47
2020,11,25,2.23,1.69
2020,11,26,1.92,0.71
2020,11,27,1.97,1.42
2020,11,28,2.23,2.2
2020,11,29,2.21,2.16
2020,11,30,2.17,2.08
2020,12,1,2.0,1.71
2020,12,2,1.84,1.18
2020,12,3,1.84,1.63
2020,12,4,1.9,1.81
2020,12,5,1.95,1.81
2020,12,6,1.97,1.65
2020,12,7,1.94,1.78
2020,12,8,1.96,1.92
2020,12,9,1.81,0.69
2020,12,10,1.95,1.76
2020,12,11,1.94,1.48
2020,12,12,1.85,1.6
2020,12,13,1.73,1.3
2020,12,14,1.76,1.74
2020,12,15,1.77,1.78
2020,12,16,1.75,1.05
2020,12,17,1.85,1.03
2020,12,18,1.72,0.89
2020,12,19,1.69,0.89
2020,12,20,1.73,0.41
2020,12,21,1.73,0.88
2020,12,22,1.85,1.02
2020,12,23,1.81,0.94
2020,12,24,1.86,1.01
2020,12,25,1.79,0.57
2020,12,26,1.63,0.52
2020,12,27,1.68,0.62
2020,12,28,1.85,1.29
2020,12,29,1.87,1.92
2020,12,30,1.96,1.88
2020,12,31,1.96,1.99
